Project Name,Package Name,Architecture Smell,Cause of the Smell
.,org.jkiss.dbeaver.ui.dialogs.connection,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ui.dialogs.connection; org.jkiss.dbeaver.ui.dialogs.driver; org.jkiss.dbeaver.ui.dialogs.connection
.,org.jkiss.dbeaver.ui.perspective,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.navigator.project; org.jkiss.dbeaver.ui.views.qm; org.jkiss.dbeaver.ui.views.process
.,org.jkiss.dbeaver.ui.preferences,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 35
.,org.jkiss.dbeaver.ui.preferences,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.editors.sql.preferences; org.jkiss.dbeaver.runtime.net
.,org.jkiss.dbeaver.ui.preferences,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PrefPageAccessibility; AbstractPrefPage; PrefPageMiscellaneousAbstract; PrefPageEclipseGeneral; PrefPageDrivers; PrefPageDriversClasspath; PrefPageDriversMaven; PrefPageNetworkProfiles; PrefPageProjectNetworkProfiles; PrefPageDatabaseNavigator; TargetPrefPage; PrefPageConfirmations; PrefPageConnectionClient; PrefPageConnectionsGeneral; PrefPageErrorHandle; PrefPageMetaData; PrefPageTransactions; PrefPageConnectionTypes; PrefPageDatabaseEditors; PrefPageDatabaseUserInterface; PrefPageEmpty; PrefPageErrorLogs; PrefPageMiscellaneous; PrefPageNetworkExpert; PrefPageNotifications; PrefPageQueryManager; PrefPageToolbarCustomization]; [PrefPageConfirmations.ConfirmationWithStatus]; [PrefPageMiscellaneous.BooleanPanel]; [PrefPageToolbarCustomization.CheckableNode]; [PrefPageToolbarCustomization.ToolBarNode]; [PrefPageToolbarCustomization.ToolItemNode]; [PreferenceStoreDelegate]; [WizardPrefPage]; [PrefPageNetworkProfiles.HandlerBlock]. LCC (Lack of Component Cohesion) = 0.26
.,org.jkiss.dbeaver.ui.resources.bookmarks,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BookmarkContentTypeDescriber]; [BookmarksHandlerImpl; BookmarkStorage; DBNBookmark; DBNBookmarkFolder; BookmarksHandlerImpl.BookmarkNodeLoader]. LCC (Lack of Component Cohesion) = 0.33
.,org.jkiss.dbeaver.ui.views.qm,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.controls.querylog; org.jkiss.dbeaver.ui.preferences
.,org.jkiss.dbeaver.model.gis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CircularArc]; [DBGeometry; GisTransformUtils; SpatialDataProvider; GisConstants; GisExpressionFunctions; GisTransformRequest]; [DBGeometry.InvertCoordinateFilter]; [DBGeometry.Force2DCoordinateFilter]; [DBGeometryDimension]; [GisAttribute]. LCC (Lack of Component Cohesion) = 0.55
.,org.jkiss.dbeaver.ui.gis,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GeometryDataUtils; GeometryViewerConstants]; [GeometryDataUtils.GeomAttrs]; [GeometryValueManager]; [IGeometryValueEditor]; [IGeometryViewer]. LCC (Lack of Component Cohesion) = 0.83
.,org.jkiss.dbeaver.ui.gis,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.ui.gis; org.jkiss.dbeaver.ui.gis.internal; org.jkiss.dbeaver.ui.gis
.,org.jkiss.dbeaver.ui.gis.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.ui.gis; org.jkiss.dbeaver.model.gis
.,org.jkiss.dbeaver.ui.gis.panel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DBDContentAdapter]; [GISBrowserImageUtils; GISLeafletViewer; SelectCRSAction; SelectSRIDDialog; SelectTilesAction; ShowSRIDDialog; GISBrowserViewer; GISBrowserViewerConstants; GISEditorUtils; ManageCRSDialog]; [GISLeafletViewer.Bounds]; [GISPanelEditor]; [GISPanelEditor.ViewerSwitchAction]; [GISPanelEditor.ViewerSetAction]; [GISTextViewer]; [ManageCRSDialog.CRSInfo]; [ManageCRSDialog.CRSLabelProvider]; [ManageCRSDialog.CRSLoader]; [SetCRSAction]; [SetTilesAction]; [TilesManagementDialog]; [TilesManagementDialog.TileLayerDefinitionDialog]. LCC (Lack of Component Cohesion) = 0.61
.,org.jkiss.dbeaver.tools.transfer.database,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DatabaseConsumerSettings; DatabaseMappingContainer; DatabaseMappingObject; DatabaseMappingType; DatabaseTransferConsumer; DatabaseTransferConsumerSerializer; DatabaseTransferUtils; MappingNameCase; MappingReplaceMechanism; DatabaseMappingAttribute; DatabaseTransferConsumer.ColumnMapping]; [DatabaseProducerSettings; DatabaseTransferProducer]; [DatabaseProducerSettings.ExtractType]; [DatabaseTransferConsumer.PreviewBatch]; [DatabaseTransferConsumer.PreviewColumnInfo]; [DatabaseTransferProducer.ObjectSerializer]; [DatabaseTransferUtils.TargetCommandContext]. LCC (Lack of Component Cohesion) = 0.39
.,org.jkiss.dbeaver.tools.transfer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.tools.transfer.serialize; org.jkiss.dbeaver.tools.transfer.stream.importer; org.jkiss.dbeaver.tools.transfer.stream
.,org.jkiss.dbeaver.tools.transfer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataTransferJob; DataTransferPipe; DataTransferSettings; DataTransferState; DTConstants; DTUtils; IDataTransferConsumer; IDataTransferNode; IDataTransferProcessor; IDataTransferProducer; IDataTransferSettings; IDataTransferConsumerSettings]; [DTUtils.DocumentBindingParams]; [DTUtils.MetadataReceiver]; [IDataTransferAttributeTransformer]; [IDataTransferConsumer.TransferParameters]; [IDataTransferEventProcessor]; [IDataTransferEventProcessor.Event]; [IDataTransferNodePrimary]; [CSVImporterTest]. LCC (Lack of Component Cohesion) = 0.45
.,org.jkiss.dbeaver.tools.transfer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.internal; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.registry; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.stream.importer; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.stream; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer; org.jkiss.dbeaver.tools.transfer.stream.importer; org.jkiss.dbeaver.tools.transfer.database; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer.internal,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer.processor,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.jkiss.dbeaver.tools.transfer.processor; org.jkiss.dbeaver.tools.transfer.stream; org.jkiss.dbeaver.tools.transfer.processor
.,org.jkiss.dbeaver.tools.transfer.registry,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.model.impl; org.jkiss.dbeaver.tools.transfer
.,org.jkiss.dbeaver.tools.transfer.registry,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataTransferAttributeTransformerDescriptor; DataTransferRegistry; DataTransferEventProcessorDescriptor; DataTransferNodeDescriptor; DataTransferProcessorDescriptor]; [DataTransferNodeDescriptor.NodeType]. LCC (Lack of Component Cohesion) = 0.33
.,org.jkiss.dbeaver.tools.transfer.stream.exporter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DataExporterCSV; QuoteStrategy; StreamExporterAbstract; DataExporterDbUnit; DataExporterHTML; DataExporterJSON; DataExporterMarkdownTable; DataExporterSourceCode; DataExporterSQL; DataExporterTXT; DataExporterXML]; [DataExporterCSV.HeaderPosition]; [DataExporterCSV.HeaderFormat]; [DataExporterSourceCode.ProgramLanguages]; [DataExporterSQL.InsertKeyword]; [DataExporterTXT.ExportTextTarget]; [DataExporterTXT.CellValue]; [DataExporterTXT.CellTextValue]; [DataExporterTXT.CellContentValue]. LCC (Lack of Component Cohesion) = 0.47
.,org.jkiss.dbeaver.tools.transfer.stream,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.jkiss.dbeaver.tools.transfer.processor
.,org.jkiss.dbeaver.tools.transfer.stream,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [IAppendableDataExporter; IStreamDataExporter; IStreamDataExporterSite; StreamTransferConsumer; StreamTransferConsumer.StreamExportSite; IDocumentDataExporter; StatOutputStream; StreamConsumerSettings; StreamMappingContainer; StreamMappingType; StreamMappingAttribute]; [IMultiStreamDataImporter; IStreamDataImporter; IStreamDataImporterSite; StreamDataImporterSite; StreamEntityMapping; StreamProducerSettings; StreamTransferProducer; StreamTransferResultSet; StreamDataImporterColumnInfo]; [StreamConsumerSettings.ConsumerRuntimeParameters]; [StreamConsumerSettings.LobExtractType]; [StreamConsumerSettings.LobEncoding]; [StreamConsumerSettings.DataFileConflictBehavior]; [StreamConsumerSettings.BlobFileConflictBehavior]; [StreamTransferConsumer.OutputStreamStatProxy]; [StreamTransferConsumer.ObjectSerializer]; [StreamTransferProducer.ObjectSerializer]; [StreamTransferUtils]. LCC (Lack of Component Cohesion) = 0.38
.,org.jkiss.dbeaver.tools.transfer.stream.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StreamDataSource; StreamDataSourceContainer; StreamDataSourceDialect; StreamExecutionContext; StreamTransferSession]; [StreamDataSourceInfo]. LCC (Lack of Component Cohesion) = 0.33
